famille;age;sexe;attribute_set;categories
"CHANCELIERE";"BEBE";"G";"Accessoires Poussettes";"La Naissance et tout autour/La Puériculture/La Promenade/Chancelières, nids d?ange"
"CHANCELIERE";"BEBE";"M";"Accessoires Poussettes";"La Naissance et tout autour/La Puériculture/La Promenade/Chancelières, nids d?ange"
"CHANCELIERE";"DPAM";"F";"Accessoires Poussettes";"La Naissance et tout autour/La Puériculture/La Promenade/Chancelières, nids d?ange"
"CHANCELIERE";"DPAM";"G";"Accessoires Poussettes";"La Naissance et tout autour/La Puériculture/La Promenade/Chancelières, nids d?ange"
"CHANCELIERE";"DPAM";"M";"Accessoires Poussettes";"La Naissance et tout autour/La Puériculture/La Promenade/Chancelières, nids d?ange"
"CHAPEAU";"BEBE";"F";"Vêtements";"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Chapeaux, bobs"
"CHAPEAU";"BEBE";"G";"Vêtements";"A classer"
"CHAPEAU";"BEBE";"M";"Vêtements";"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Chapeaux, bobs"
"CHAPEAU";"DPAM";"F";"Vêtements";"Fille 3 - 14 ans/Accessoires fille/Chapeaux"
"CHAPEAU";"DPAM";"G";"Vêtements";"A classer"
"CHAPEAU";"DPAM";"M";"Vêtements";"Fille 3 - 14 ans/Accessoires fille/Chapeaux"
"CHAPKA";"BEBE";"F";"Vêtements";"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bonnets, écharpes, gants"
"CHAPKA";"BEBE";"G";"Vêtements";"Bébé garçon 3 à 23 mois/Accessoires bébé garcon/Bonnets, écharpes, gants"
"CHAPKA";"BEBE";"M";"Vêtements";"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bonnets, écharpes, gants;;Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bonnets, écharpes, gants"
"CHAPKA";"DPAM";"F";"Vêtements";"Fille 3 - 14 ans/Accessoires fille/Bonnets, écharpes, gants"
"CHAPKA";"DPAM";"G";"Vêtements";"Garçon 3 - 14 ans/Accessoires garcon/Bonnets, écharpes, gants"
"CHAPKA";"DPAM";"M";"Vêtements";"Fille 3 - 14 ans/Accessoires fille/Bonnets, écharpes, gants;;Fille 3 - 14 ans/Accessoires fille/Bonnets, écharpes, gants"
